popularity,danceability,energy,loudness,tempo,genre
80,0.657,0.734,-4.832,91.03,2
78,0.629,0.696,-5.572,93.034,2
61,0.672,0.814,-3.768,97.043,2
73,0.552,0.846,-4.912,98.56,2
54,0.617,0.717,-7.858,103.992,2
47,0.596,0.62,-6.133,80.029,2
52,0.639,0.628,-7.578,90.482,2
47,0.667,0.747,-7.059,86.917,2
66,0.76,0.524,-7.67,119.603,2
45,0.439,0.808,-6.881,82.962,2
82,0.79,0.647,-5.983,87.999,2
76,0.531,0.803,-3.284,142.113,2
73,0.563,0.496,-9.381,139.993,2
0,0.578,0.825,-6.107,130.089,2
63,0.464,0.771,-4.503,158.777,2
61,0.636,0.901,-7.094,162.994,2
0,0.894,0.511,-4.768,120.08,2
51,0.497,0.489,-7.724,171.853,2
77,0.861,0.603,-5.788,98.043,2
81,0.63,0.804,-4.183,123.146,2
83,0.585,0.52,-6.136,159.801,2
80,0.68,0.578,-5.804,145.038,2
77,0.75,0.56,-8.094,140.06,2
79,0.755,0.522,-4.368,89.96,2
79,0.829,0.539,-7.359,99.96,2
1,0.58,0.653,-3.818,150.231,2
85,0.695,0.762,-3.497,120.042,2
49,0.649,0.713,-6.488,101.129,2
67,0.677,0.682,-6.879,106.279,2
81,0.732,0.75,-6.366,155.096,2
59,0.753,0.88,-4.689,115.057,2
67,0.783,0.916,-3.344,95.321,2
83,0.872,0.391,-9.144,134.021,2
82,0.921,0.537,-5.723,128.009,2
82,0.74,0.613,-4.88,75.023,2
79,0.669,0.308,-10.068,64.934,2
77,0.791,0.582,-7.323,162.991,2
63,0.716,0.485,-7.745,74.132,2
67,0.487,0.729,-6.815,91.048,2
0,0.906,0.625,-6.779,150.018,2
0,0.636,0.517,-6.759,139.928,2
80,0.698,0.633,-4.946,96.924,2
80,0.8,0.585,-7.343,126.058,2
0,0.681,0.463,-6.542,82.92,2
61,0.531,0.581,-5.801,137.776,2
1,0.493,0.849,-6.139,127.999,2
80,0.554,0.498,-8.866,79.635,2
68,0.833,0.628,-7.041,106.328,2
0,0.839,0.81,-5.274,129.014,2
